category,question ,answer,bonus,final_trivia,double_jeopardy
History,"During its tenure with NASA, the Space Shuttle carried out 135 missions - 132 of these flights landed at Kennedy Space Center in Florida or Edwards Air Force Base in California, 2 sadly did not make it back to earth, and one landed at what other location on the shuttles third flight in 1982?","White Sands - 
STS-3, NASA's third Space Shuttle mission in March of 1982, which used the Space Shuttle Columbia, was forced to land at the White Sands Space Harbor near Las Cruces, New Mexico due to flooding at its originally planned landing site, Edwards Air Force Base. The landing is discussed at a crucial moment in the 1986 film ""Space Camp"" when, having missed the re-entry window for Edwards, the crew comes up with a plan to land at White Sands.",,TRUE,
Geography,"Geography: Polynesia is a region within Oceania, defined by indigenous people with similar language, culture, and beliefs, which includes over 1,000 islands scattered over much of the southern and central Pacific Ocean. What is the largest island in Polynesia?",New Zealand,,TRUE,
Art & Literature,"In addition to ""O Captain! My Captain!"", written in 1865 about the death of Abraham Lincoln, what lesser known Whitman work, a 206-line free verse elegy also written in 1865, uses a series of natural imagery in moving from grief toward an acceptance of death? ""When Lilacs Last in the Dooryard Bloom'd"" ""Leaves of Grass"" OR ""Song of myslef""","""When Lilacs Last in the Dooryard Bloom'd""",,TRUE,
History,What underdog knocked out Mike Tyson in Tokyo in 1990?,Buster Douglas,,,
History,"In 1992, what city hosted the first World Series game ever played outside the US?",Toronto,,,
History,In what country did Jack-O-Lanterns originate?,Ireland,,,
History,"In what american state is it illegal to dress up as nun, priest, or minister of the clergy on Halloween?",Alabama,,,
History,What is the next year in which a full moon will fall on Halloween?,2020,,,
History,Who famously died on Halloween in 1926?,Harry Houdini,,,
History,Translyvania is a historic region located in what modern day country?,Romania,,,
History,What four NHL teams did Wayne Gretsky play for in his career from 1979-1999?,"Edmonton Oilers, Los Angeles Kings, St. Louis Blues and New York Rangers",TRUE,,
Food & Beverage,What company has a mascot named Poppin' Fresh?,Pilsbury,,,
Food & Beverage,What substance gives Tonic Water its flavour and is used to treat Malaria?,Quinine,,,
Food & Beverage,Is a pumpkin a fruit or vegetable?,Fruit,,,
Food & Beverage,"What cut of beef, often used for hamburger, is also called the ""seven-bone steak""?",Chuck,,,
Food & Beverage,What candy company makes Goobers and Raisinets?,Nestle,,,
Food & Beverage,"In Australian slang, what kind if food is a mystery bag?",Sausage,,,
Food & Beverage,What was the first vegetable used to make Jack-O-Lanterns?,Turnip,,,
Food & Beverage,What is Homer Simpson’s beer of choice?,Duff,TRUE,,
"Not So Common Sense,Olympics,Sports",What is the first of the four different stroke's swum in swimming's individual medley?,Butterfly,,,
"Not So Common Sense,Halloween","What American city and state holds the record for most Jack-O-Lanterns lit at once set in 2013 with over 30,000?","Keene, NH",TRUE,,
"Not So Common Sense,Halloween",What is the most popular type of candy on halloween?,Chocolate - Reese's,,,
"Not So Common Sense,Halloween",What does seeing a spider on Halloween mean?,good luck ,,,
"Not So Common Sense,Halloween","Every Halloween, Charlie Brown helps his friend Linus wait for what character to appear?",The Great Pumpkin,,,
Not So Common Sense,"How many suspects are there in a game of ""Clue""?",six,,,
Not So Common Sense,"What two things need to be combined to form an ""interrobang""?",! and ?,,,TRUE
"Not So Common Sense,Halloween",What was the name of Dracula’s sidekick?,Renfield,TRUE,,
Entertainment,"In S8E11 of The Office ""Trivia"" What was the name of the team won the trivia contest?        ",The Einsteins,,TRUE,
Geography,What is the oldest continuously inhabited city in the world with evidence of civilization dating back to 9000 B.C.?,Damascus Syria,,TRUE,
Science,"What is the most common form of medical imaging which uses electric field gradients, magnetic fields, and radio waves to form pictures of the anatomy and the physiological processes of the body in both health and disease?	",MRI - A CT scan is a combination of many X-rays to produce cross-sectional (tomographic) images. A PET scan detects pairs of gamma rays emitted by a tracer. Ultrasound uses sound waves with frequencies higher than the upper limit of human hearing.,,TRUE,
History,What was the name given to the space missions that took place between the Mercury and Apollo missions from 1961 to 1966?,Gemini,,,
"History,Art & Literature",Who wrote the classic American dystopian novel Fahrenheit 451 that was first published in 1953.,Ray Bradbury,,,
"History,Art & Literature",What was the name of H.G. Wells' first novel published in 1895?,The Time Machine,,,
History,In which European city did composer Richard Wagner die in 1883? ,Venice,,,
History,The Zimmermann Telegram resulted in US entry into what war?,WWI,,,
History,What was the name of the first empire in human history?,The Akkadian Empire,,,
History,In 1979 what did President Carter apologise to Australia about?,fragments of Skylab falling on a small city outside Perth,,,
History,Who won the Nobel Prize in Physics for discovering the nuclear fission of heavy nuclei in 1944?,Otto Hahn,TRUE,,
Food & Beverage,What is the most popular animal eaten before it's born and after it's dead?,Chicken,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,What spirit is made from fermented molasses?,Rum,,,
Food & Beverage,What are the three simplest types of sugar?,"Glucose, Fructose, Galactose",,,TRUE
Food & Beverage,"What type of fruit juice is used to make the drink ""Fuzzy Navel""?",Orange,,,
Food & Beverage,What is the brand of cereal whose original mascot was Cornelius the Rooster?,Corn Flakes,,,
Food & Beverage,What are the two main ingredients of mayonnaise?,Oil and Egg yolk,,,TRUE
Food & Beverage,"Though botanically a fruit, what food was officially ruled a vegetable by the US Supreme Court in 1893?",Tomato,TRUE,,
Not So Common Sense,How many carats is pure gold?,24,,,
Not So Common Sense,What is the largest and longest nerve in the human body?,Sciatic Nerve,,,
Not So Common Sense,What bird lays an egg that is roughly a quarter of its body weight and larger than any other bird on earth?,The Kiwi,,,
Not So Common Sense,"The name of what household product stands for ""water displacement, formulation successful in 40th attempt?",WD-40,,,
Not So Common Sense,When do coniferous trees lose their leaves?,Never,,,
Not So Common Sense,"What is the more common name for the ""Ships of the desert""?",Camels,,,
Not So Common Sense,What is the only bird that can fly backwards?,Hummingbird,,,
Not So Common Sense,"Describe the scientific classification of our sun? temperature, spectra, type of reaction","Yellow dwarf, main sequence, G2V",TRUE,,
Entertainment,"What historic New York City hotel, built between 1883 and 1885 on West 23rd Street, was home to Arthur C. Clarke when he wrote ""2001: A Space Odyssey"", to Dylan Thomas before he passed, and was the location where Nancy Spungen was found stabbed to death?",The Chelsea,,TRUE,
Geography,"Lanzarote, an island located 78 miles off the coast of Africa and often called the ""Island of Eternal Spring"", is a member of what archipelago which was ruled by various French and Portuguese forces in the 1400s, but has been under Spanish rule since 1479?",The Canary Islands,,TRUE,
Mathematics,"What term describes the tiling of a flat plane using one or more geometric shapes, called tiles, with no overlaps and no gaps? These have been seen in the real world as decorative mosaic tiles dating back to ancient times.",Tesselation,,TRUE,
History,The department of homeland security was created following what event?,9/11 attacks,,,
History,The colossal rotunda of which roman temple is the largest unreinforced concrete dome in the world?,Pantheon,,,
History,"The International Consortium of Investigative Journalists was primarily responsible for leaking over 11.5 million documents, collectively known as what on April 3, 2016?",the Panama Papers,,,
History,What general became a national hero for his defense of New Orleans during the War of 1812?,Andrew Jackson,,,
History,“What hath God wrought” was the first message ever sent on what type of a communication device?,Telegraph,,,
"History,Olympics",The Winter Olympics Games were first held in which country and in what city?,"France, Chamonix",,,TRUE
History,Where were the 1916 Olympic Games held?,They weren't,,,
History,How many distinct campaigns did the Crusades have between 1096 and 1291?,Nine,TRUE,,
Food & Beverage,What is the name of the alcoholic beverage made from fermented Pears?,Perry,,,
Food & Beverage,What kind of beans are often dropped into a Sambuca?,Coffee Beans,,,
Food & Beverage,In what country were fortune cookies invented?,US - San Fran,,,
Food & Beverage,"In the UK, what is called a ""courgette""?",Zuchinni,,,
Food & Beverage,Alan Adler is credited with inventing what method of coffee preparation?,AeroPress,,,
Food & Beverage,What is the main ingredient of polenta?,Cornmeal,,,
Food & Beverage,"To determine the percentage of alcohol in a bottle of liquor, what do you do?",Proof divided by 2 (1/2 proof),TRUE,,
Not So Common Sense,What is the colour of mourning in Turkey?,Violet/Purple,,,
Not So Common Sense,What U.S. president's library boasts a 3-ton chunk of the Berlin Wall?,Reagan,,,
Not So Common Sense,What does the abbreviation SUV stand for?,Sport Utility Vehicle,,,
Not So Common Sense,"How many wheels are there on the Trailer of an ""18-wheeler"" truck?",8,,,
Not So Common Sense,What color is New York's Staten Island Ferry?,Orange,,,
Not So Common Sense,What is the most common first name in the world?,Muhammed,,,
Not So Common Sense,"What does the ""lithosphere"" refer to on the earth?",Earth's crust,,,
Not So Common Sense,"Who is credited with coining the term ""a penny saved is a penny earned""",Ben Franklin,TRUE,,
Geography,"The oceanic pole of inaccessibility is the place in the ocean that is farthest from land. Located in the South Pacific 1,670 miles from the nearest island, what is the name for this point? It is Latin for ""no one"".",Nemo,,TRUE,
"History,Mathematics","What French mathematician, who is given credit for early developments that led to infinitesimal calculus, scribbled a note in the margin of his copy of ""Arithmetica"" regarding a problem he could prove, but which would not fit within the space of the margin? last theorem - pathagoreom therom - hardest proof in math history (good will hunting)",Fermat,,TRUE,
Art & Literature,"The students at Hogwarts are placed into four houses, Gryffindor, Slytherin, Ravenclaw, and Hufflepuff, represented respectively by a lion, a serpent, an eagle, and what other mascot for Hufflepuff?",Badger,,TRUE,
"History,Sports,Not So Common Sense",What were the New England Patriots named prior to the 1971 season?,Boston Patriots,,,
History,"In late 2005, on what internet dating site did Dr. Phil begin writing an advice column for?",Match.com,,,
History,2010 was the first year what apple product was released?,iPad,,,
History,What company invented the floppy disk in 1970?,IBM,,,
History,The original Legoland opened in which country in 1968?,Denmark,,,
History,What company introduced Spam to the market in 1937?,Hormell Foods,,,
History,Which car company was founded by Sir William Lyons in 1922?,Jaguar,,,
History,Robert Peary was the first person to reach what location on Earth in 1909?,the North Pole,TRUE,,
Food & Beverage,Which country gave birth to the beer Corona?,Mexico,,,
Food & Beverage,The Bical grape originates from which European country?,Portugal,,,
Food & Beverage,What do the letters X.O. stand for on a bottle of cognac?,Extra Old,,,
Food & Beverage,Gail Borden Jr. did what for first time to milk in the US in 1856?,condensed milk,,,
Food & Beverage,What kind of fruit juice is used to mix a Polish Martini?,Apple,,,
Food & Beverage,Which poisonous concoction was Socrates given to drink to carry out his death sentence?,Hemlock,,,
Food & Beverage,What kind of fruit juice is used to mix a Lasky cocktail?,Grape Juice,,,
Food & Beverage,"What Italian dish's name translates literally as ""cooking pot""?",Lasagna,TRUE,,
Not So Common Sense,What does uranium become when it has lost all of its radioactivity?,Lead,,,
Not So Common Sense,What is the change from a chrysalis to a butterfly called?,Metamorphasis,,,
Not So Common Sense,What do the British call gasoline?,Petrol,,,
Not So Common Sense,What tool did Charles Moncke invent?,The Monkey Wrench,,,
Not So Common Sense,Where do bumblebees normally nest?,Underground,,,
Not So Common Sense,How many pairs of chromosomes are there in each human cell?,23,,,
Not So Common Sense,What is a particle of light called?,Photon,,,
Not So Common Sense,How many daily tides are there?,2,TRUE,,
"History,Warfare","What meeting of ambassadors of European states, held from November 1814 to June 1815, had as its objective resolving issues rising from, and establishing a long-term peace plan for Europe following, the French Revolutionary Wars and Napoleonic Wars?",The Congress of Vienna,,TRUE,
Art & Literature,"A protagonist, from the Ancient Greek meaning 'one who plays the first part, chief actor', is the main character of a story. What name, also derived from Ancient Greek, is given to the next most important character in a story after the protagonist?",Deuteragonist,,TRUE,
Geography,"In addition to Ecuador and Brazil, what is the only other South American nation crossed by the equator?",Colombia,,TRUE,
History,"What was finally completed in 1869 in Promontory, Utah?",US Transcontinental Railway,,,
History,Which famous painting was stolen from an Oslo museum in 1994?,The Scream (Edvard Munch),,,
History,"Who was assassinated by Dan White on Nov 27th, 1978?",Harvey Milk and  George Moscone,,,TRUE
History,What was the name of the military plan that was developed by General Winfield Scott to defeat the Confederate Army during the civil war?,Anaconda Plan,,,
History,What team won the first ever Super Bowl played?,The Green Bay Packers,,,
History,1953 was the year that marked the release of what iconic American sports car? GM,Corvette,,,
History,1950 was the year that marked the inaugural season of what sport?,Formula One,,,
History,The Treaty of Ghent was the peace treaty that ended the War of 1812 between the United States of America and the United Kingdom of Great Britain and Ireland and was signed by all 3 countries in what other country?,Belgium,TRUE,,
Food & Beverage,What is the latin word for wine?,Vino,,,
Food & Beverage,What are you supposed to do when presented with the wine cork from a freshly opened wine bottle?,Look at it,,,
Food & Beverage,What is the name of the Italian dessert made with ladyfingers dipped in coffee?,Tirimisu,,,
Food & Beverage,"In English-speaking countries, what is Rauchbier typically referred to as?",Smoked Beer,,,
Food & Beverage,"A ""black and tan"" is a mixture of Bass Ale and what other beer?",Guiness Stout,,,
Food & Beverage,What’s the Hungarian word for red pepper?,Paprika,,,
Food & Beverage,What spice comes from the herb called cilantro?,Coriander,,,
Food & Beverage,What was the original brand of cereal whose mascot was Chef Wendell?,Cinnamon Toast Crunch,TRUE,,
Not So Common Sense,What does uranium become when it has lost all of its radioactivity?,Uruguay,,,
Not So Common Sense,"In nautical terms, where is the ""Bow"" of a ship?",Front,,,
Not So Common Sense,What was the original maximum number of characters that one can use in a Twitter tweet and what is it today??,"140, 280",,,TRUE
Not So Common Sense,What animal was the Egyptian God Horus depicted as?,Falcon,,,
Not So Common Sense,True or False: Teddy Roosevelt and Franklin Delano Roosevelt were cousins?,True - 5th Cousins,,,
Not So Common Sense,What is the FBI motto?,"Fidelity, Bravery, Integrity",,,
Not So Common Sense,Who became president after William McKinley was assassinated 6 months into his 2nd term by Leon Czolgosz?,Theodore Roosevelt,,,
Not So Common Sense,Which Apollo 11 astronaut did not set foot on the moon?,Michael Collins,TRUE,,
Physics,"What is the term for the measure of the opposition that an electrical circuit presents to a current when a voltage is applied, which, possessing both magnitude and phase, extends the concept of resistance to AC circuits?",Impedence,,TRUE,
Geography,The longest pedestrian suspension bridge in the United States opened in June. It stretches 680 feet and has glass panels in the middle that allow you to look 140 feet down to the valley below. It is located atop Crockett Mountain in what state?,"SkyBridge in Gatlinburg, Tennessee,",,TRUE,
Business,"What rental car agency, owned by Enterprise Holdings and based in Clayton, Missouri, offers its customers membership in its Emerald Club rewards program which provides express Emerald Checkout and the choice of any car on its Emerald Aisle?",National,,TRUE,
History,"What country is credited with inventing the modern, self-igniting match in 1805?",France,,,
History,"Who is considered the ""father of psychoanalysis""?",Sigmund Freud,,,
History,"In 1864 what french Scientist inventer the process of Pasteurization which is the partial sterilization of a product, such as milk or wine, to make it safe for consumption and improve its keeping quality.",Louis Pasteur,,,
History,Karl Landsteiner discovered what aspect of blood cells responsible for blood types that later enabled the first successful blood transfusion.,Antigens on cell surface (ABO system) (Rhesus (Rh) factor +/-) (antibodies in plasma),,,
History,How many days were there in the ancient Egyptian year?,365,,,
"History,Medicine","On 3 December 1967, a large medical, nursing, and technical team led by Dr. Christiaan Barnard performed the world's first human to human transplant of what organ, placing Groote Schuur Hospital in Cape Town, South Africa, on the international map",Heart,,,
