category,question ,answer,bonus,final_trivia,double_jepardy
Food & Beverage,From what type of fish is caviar obtained?,Sturgeon,,,
Food & Beverage,What's tofu made from?,Condensed soy milk,TRUE,,
"Movies,Entertainment",T/F The movie Forrest Gump has more minutes of CGI screen time than Jurassic Park,TRUE,,,
"Movies,Entertainment",What two animal sounds were combined to create the sound of the Brachiosaurs in Jurassic Park?,Whale and Donkey,,,
"Movies,Entertainment",The mask used by Michael Myers in Halloween was made using what?,Captain Kirk Mask,,,
"Movies,Entertainment",Steven Spielberg's Poltergeist and what other movie are based off of the same script about a rural family invaded by aliens?,E.T. The Extra Terrestrial,,,
"Movies,Entertainment",What was the nickname given to the animatronic great white shark from Jaws?,Bruce the Shark,,,
"Movies,Entertainment",Which Tarantino film features a scen with reversed footage after the actor was unable to perform the stunt when filmed in the traditional manner?,Pulp Fiction,,,
"Movies,Entertainment",Which director has been thanked more times than God throughout the history of Oscar acceptance speeches?,Steven Spielberg,,,
"Movies,Entertainment","In The Big Lebowski, the Dude says which word nearly 1.5 times a minute totaling 147 times throughout the movie?","""man""",TRUE,,
"Technology,Art & Literature","The ""For Dummies"" series of books, usually yellow and black with a triangular-headed cartoon figure known as the ""Dummies Man"" on the cover, began on October 1, 1991, when a guide for what operating system introduced 10 years earlier was published?",DOS - disc operating system,,TRUE,
"History,Business","What Prince, age 34, was ranked at #8 on the ""Forbes"" list of ""The World's Most Powerful People""? He ranks ahead of Mark Zuckerberg (age 35) and Kim Jong-un (36), making him the youngest person on the 75-person list.",Mohammed bin Salman,,TRUE,
Geography,"On January 20th, in a mix of both tradition and necessity, workers for the U.S. Census Bureau began the nation's 2020 census in the town of Toksook Bay, which had a population of 590 in 2010. In what state is Toksook Bay located?",Alaska,,TRUE,
Astronomy,What planet in our Solar System has the longest day? 243 days,Venus,,,
Astronomy,What is the only moon in our solar system to spin in a direction opposite of its planet's rotation?,Triton,,,
Astronomy,What is the scientific name for the North Star?,Polaris,,,
Astronomy,"In Astronomy, what does the ""Seven Sisters"" refer to?",The Pleiades,,,
Astronomy,"What planet has the shortest day, at 10 hours?",Jupiter,,,
Astronomy,"In 1781, William Herschel was looking for binary stars in the constellation of Taurus when he observed what he thought was a new comet. his studies revealed that it was what planet, the first ever discovered",Uranus,,,
Astronomy,What is the name of Stephen Hawking's cosmology book published in 1988?,A Brief History of Time,,,
Astronomy,What are three of the six most abundant Greenhouse Gases?,"Water vapour, carbond dioxide, methane, nitrous oxide, ozone and chlorofluorocarbons.",TRUE,,
Food & Beverage,Which fruit is affected by a grey type of fungus known commonly as Noble Rot?,grapes,,,
Food & Beverage,"The meat pie, Tourtiere, originated in which country?",Canada,,,
Food & Beverage,What are the 3 ingredients in a Ranch Water cocktail,"Tequila, lime juice, soda water",,,
Food & Beverage,"What fast food chain marketed a meat-scented cologne called ""Flame"" in 2008?",Burger King,,,
Food & Beverage,Shortbread originated in what country?,Scotland/UK,,,
Food & Beverage,What cut of steak got its name from the New York City coach stop where it was first served?,Porterhouse,,,
Food & Beverage,Carbonade Flamande is a belgian beef and onion stew made with what alcoholic beverage?,Beer,,,
Food & Beverage,"Fernand Petiot is said to have invented what famous and common cocktail in 1921, well before any of the later claims, while working at the New York Bar in Paris. The Bar was a frequent Paris hangout for Ernest Hemingway and other American expatriates.",The Bloody Mary,TRUE,,
Not So Common Sense,What is the only bird in the famous witches' cauldron ingredient list from Macbeth?,An owl,,,
Not So Common Sense,"In its native habitat how high, in ft, can a poinsettia grow? Pionsetta is a flowering shrub",10 feet,,,
Not So Common Sense,How many hearts does an Octopus have?,Three,,,
Not So Common Sense,"What disease was once nicknamed ""the white plague""?",Tuberculosis,,,
Not So Common Sense,Where are a pig's sweat glands for temperature regulation located?,They don't have functional sweat glands,,,
Not So Common Sense,What is permanently-frozen subsoil called common in the arctic tundra?,Permafrost,,,
Not So Common Sense,How long does it take a human blood cell to make a complete circuit of the human body?,45 sec - 1 min,,,
Not So Common Sense,What tree's edible seeds were once used to weigh diamonds?,Locust/Carob Tree,TRUE,,
Landmarks,"The Cathedral of Vasily the Blessed, officially known as the Cathedral of the Intercession of the Most Holy Theotokos on the Moat, built from 1555 to 1561 on orders from Ivan the Terrible and its city's tallest building at the time, is most commonly known by what name?",Saint Basil's Cathedral,,TRUE,
History,"What name, taken from a 1985 Agreement, applies to the 26 European states that have officially abolished all passport and other types of border control at their mutual borders? It currently includes 22 of the 28 EU member states.",Schengen Area,,TRUE,
Geography,"The disastrous Australian brushfires of 2019 and 2020, heavily impacted the North Coast, Mid North Coast, Hunter, Hawkesbury, Wollondilly, Illawarra, South Coast, Blue Mountains, Riverina, and Snowy Mountain regions of what Australian state?",New South Wales,,TRUE,
"Presidents,History","Who was the first president to call his residence in Washington, D.C. the “White House.” Prior to his term, it had been called the Executive Mansion or the President’s House.",Theodore Roosevelt ,,,
"Presidents,History","What President established Yellowstone as the nation’s first national park on March 1, 1872.",Ulysses S. Grant,,,
"Presidents,History",What President was named Time magazine’s “Man of the Year. twice”,Ronald Reagan,,,
"Presidents,History",Who was the only president to be elected to two nonconsecutive terms.,Grover Cleveland ,,,
"Presidents,History",Who was the only president to never marryand remained single his entire life??,James Buchanan,,,
"Presidents,History","Who delivered the longest inaugural address at 105 minutes. He did not wear an overcoat or hat and afterward developed pneumonia and died in the White House exactly one month after giving his speech, on April 4.",William Henry Harrison ,,,
"Presidents,History","An avid stamp collector, what president received the first sheet of every new commemorative issue.",Franklin D. Roosevelt,,,
"Presidents,History",Who was the only president to serve in both World War I & World War II.,Dwight D Eisenhower,TRUE,,
Food & Beverage,How many times are traditional Mexican refried beans fried?,Once,,,
Food & Beverage,Which fish does a chef need a special license for to be able to prepare in Japan?,Blowfish,,,
Food & Beverage,What cocktail is considered the official cocktail of New Orleans?,Sazerac,,,
Food & Beverage,What country has the highest consumption of candy annually per person?,Denmark,,,
Food & Beverage,"What is the name of the dish consisting of a chicken breast stuffed with garlic butter, coated with breadcrumbs, and then fried or baked.",Chicken Kiev,,,
Food & Beverage,What is traditionally hidden in a Mardi Gras king cake?,Small baby doll,,,
Food & Beverage,What is Takeru Kobayashi famous for doing what competatively?,Competative Eating,,,
Food & Beverage,"What type of a vegetable is a ""marrowfat""?",a Pea,TRUE,,
Not So Common Sense,"George Orwell's ""Animal Farm"" is a roman à clef for what historical event? roman a clef= story about real life with fictional fascade",The Russian Revolution,,,
Not So Common Sense,What was the first vitamin to be discovered and named?,Vitamin A,,,
Not So Common Sense,What is the brightest star in the night sky?,Sirius A,,,
Not So Common Sense,"Angora wool is produced from what animal's coat? mohair = Angora goat, Angora wool= angora rabbit",Angora Rabbit,,,
Not So Common Sense,What company introduced the first hand-held calculator in 1967?,Texas Instruments,,,
Not So Common Sense,What famous 19th-century American writer was issued a patent for adjustable elastic suspenders?,Mark Twain,,,
Not So Common Sense,What's the world's largest predatory fish?,Great White Shark,,,
Not So Common Sense,"In the International System of Units (SI), how is power measured?",Watts,TRUE,,
Geography,"What Tuscan river, which begins on Mount Falterona and travels 150 miles, passes through Florence, Empoli, and Pisa, before flowing into the Tyrrhenian Sea at Marina di Pisa? It is, after the Tiber, the most important river of central Italy.",The Arno,,TRUE,
Sports,"What team, which was originally founded in 1972, and which moved to its current location in 1995, is 2-0 in Stanley Cup finals, making it the only team with a 1.000 winning percentage in the finals?",Colorado,,TRUE,
Art & Literature,"What literary character, whose birth name was Robinson Kreutznaer, and whose story is thought to be based on the life of Scottish privateer Alexander Selkirk, was the subject of a famous 1719 work and four lesser-known sequels?",Robinson Crusue,,TRUE,
Science,What black stone is the most common volcanic rock on Earth?,Basalt,,,
Science,What is the only insect that can turn its head?,Praying Mantis,,,
Science,"Who was the first American astronaut to orbit the Earth, circling it three times in 1962?",John Glenn,,,
Science,How many ventricles does the brain have?,4,,,
Science,In what gland is human growth hormone produced?,The Pituitary,,,
Science,Which Russian chemist created the modern periodic table?,Dmitri Mendeleev,,,
Science,What reaction takes place when food browns during cooking?,Maillard Reaction,,,
Science,What are the four layers of the rainforest?,"Emergent, Canopy, Understory, Forest Floor",TRUE,,
Food & Beverage,What type of fruit is a Winter Banana?,Apple,,,
Food & Beverage,The candy PEZ was first sold in what european country?,Austria,,,
Food & Beverage,"According to the KFC ads, how many herbs and spices are in Colonel's secret recipe?",11,,,
Food & Beverage,What fruit comes in Redchief and Earliglow variety?,Strawberries,,,
Food & Beverage,"Though botanically a fruit, what food was officially ruled a vegetable by the US Supreme Court in 1893?",Tomato,,,
Food & Beverage,What color M&M was retired to make way for blue M&Ms in 1995?,Tan,,,
Food & Beverage,What company makes Reese's Peanut Butter Cups?,Hershey,,,
Food & Beverage,What are the two fruit juices in a cosmopolitan?,Cranberry and Lime,TRUE,,
Not So Common Sense,Taekwondo was developed in what country?,Korea,,,
Not So Common Sense,Which river is often viewed as Russia's national river?,The Volga,,,
Not So Common Sense,What does the military term AWOL stand for?,Absent W/O Official Leave,,,
Not So Common Sense,What word refers to minimum attendance necessary for US Congress to conduct business?,Quorum,,,
Not So Common Sense,What music duo was sued in 1999 by Rosa Parks after they used her name to title a hit song?,OutCast,,,
Not So Common Sense,What's the opposite of the Orient?,The Occident,,,
Not So Common Sense,"What chemical element is added to rubber to ""vulcanize"" it?",Sulfur,,,
Not So Common Sense,In which English city would you find The Christmas Steps?,Bristol,TRUE,,
Geography,"Esperanza Base, a permanent research station in Hope Bay, Antarctica, which was built in 1953 and is home to the world's southernmost school (Escuela Nº 38 ""Presidente Raúl Ricardo Alfonsín""), is controlled by what South American nation?",Argentina,,TRUE,
Biology,"Also known as a water hog, what highly social mammal native to South America, which has slightly webbed feet, a vestigial tail, and can weigh up to 200 pounds, and whose image is featured on the 2-peso coin of Uruguay, is the largest living rodent?",Capybara,,TRUE,
History,"Prince Charles, his children, and his grand-children occupy the first seven spots in the line of succession to the British throne. What royal, the Duke of York and Charles' younger brother, is next in the line of succession or eighth in line?",Prince Andrew,,TRUE,
