category,question,answer,bonus,final_trivia,double_jeopardy
Geography,"The Pan-American highway extends from the southern tip of South America to Prudhoe Bay, Alaska. It can be driven end-to-end except for a ~60-mile section which was never completed. What is the name of the uncompleted section?",The Darien Gap,,TRUE,
History,"What is the common name for the military organization, powerful during the Middle Ages, officially named ""Poor Fellow-Soldiers of Christ and of the Temple of Solomon""? They were founded in 1119, recognized by a papal bull in 1139, and active until 1312.",Kinghts Templar,,TRUE,
Food & Beverage,What ingredient must French vanilla ice cream have in it to distinguish it from regular vanilla?,Eggs,,,
Food & Beverage,What was the original brand of cereal whose mascot was CinnaMon?,Apple Jacks,,,
Food & Beverage,Which food manufacturer produces and sells Cheez Whiz?,Kraft,,,
Food & Beverage,What does barley become when prepared for brewing?,Malt,,,
Food & Beverage,"To determine the percentage of alcohol in a bottle of liquor, what is divided by two?",Proof,,,
Food & Beverage,In the game Ms. Pac-Man eating what fruit was worth 5000 points?,banana,TRUE,,
Not So Common Sense,What Hartford manufacturing company began making hex-head wrenches during World War II?,The Allen Manufacturing Company,,,
Not So Common Sense,"3,333,360 points is the maximum number of points you can score in what video game?",Pac-Man,,,
Not So Common Sense,"The card game ""Penguin"" is a variation of what other card game?",Solitaire,,,
Not So Common Sense,"According to an old medical saying, ""An ounce of what is worth a pound of cure""?",Prevention,,,
Not So Common Sense,What black and white bird is the official state bird of Minnesota?,(Common) Loon,,,
Not So Common Sense,Which European city is served by Galileo Galilei Airport?,Pisa,TRUE,,
Historical Geography,"Kampuchea, a state that existed under Marxist-Leninist totalitarian rule between 1975 and 1979, was the name of what present day country until 1990 when it was renamed in the run up to the 1991 Paris Peace Agreements?",Cambodia,,TRUE,
Astronomy,"In space, around the earth, there are five points at which the gravity of the earth and the sun counteract each other, such that a satellite at this location can remain there indefinitely. What is the scientific name of these five points?",Lagrangian Point,,TRUE,
Architecture,Name the three types of Columns invented by the ancient Greeks. ,"Doric, Ionic, Corinthian",,TRUE,
History,In the 1960s Dr. Christiaan Barnard performed the first successful human _______transplant?,Heart,,,
History,Henry VIII was a member of what dynastic house of the English monarchy?,Tudor,,,
History,In which country was the Rosetta Stone found?,Egypt,,,
History,Who led the first expedition to sail around the world?,Ferdinand Magellen,,,
History,What famous European City is traditionally said to be built on 7 hills?,Rome,,,
History,Which two tools are depicted on the former Soviet Union's flag?,Hammer and Sickle,TRUE,,
Food & Beverage,The Shaddock is a variety of fruit from what fruit family? ,Citrus,,,
Food & Beverage,What garden vegetable was known for years as Italian squash?,Zucchini,,,
Food & Beverage,What kind of clay oven is used to make Indian dishes like naan and chicken tikka?,Tandoor,,,
Food & Beverage,What two ingredients make a Black Velvet cocktail?,Champagne and stout,,,
Food & Beverage,What is the name of a small barrel of beer of nine gallons capacity?,A Firkin,,,
Food & Beverage,"Name 3 of the 5 ""mother sauces"" in french cuisine.","Béchamel sauce, Espagnole sauce, Hollandaise sauce, Tomato sauce, and Velouté sauce.",TRUE,,
Not So Common Sense,"Where did the world's tallest bird, the giant moa, live until it went extinct around 1500?",New Zealand,,,
Not So Common Sense,How many colors were there in the first boxes of Crayola crayons sold in 1903,8,,,
Not So Common Sense,What is the front of a saddle called?,Pommel,,,
Not So Common Sense,What distance did the Romans once define as a thousand paces?,a mile ,,,
Not So Common Sense,The entrance to what New York City landmark has a pair of lion sculptures?,Public Library,,,
Not So Common Sense,What is floating wreckage of a ship called?,Flotsam,TRUE,,
Geography,"What park, encompassing nearly 3.4 million acres between the Great Basin and Mojave deserts, is the largest national park in the lower 48 United States? It was established as a National Monument in 1933 and named a National Park in 1994.",Death Valley NP,,TRUE,
History,"In 1791, what military engineer, who served in the Continental Army during the American Revolutionary War, developed an urban plan for the city of Washington D.C.?",Pierre Charles L'Enfant,,TRUE,
Art & Literature,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" is about a London lawyer named Gabriel John Utterson who investigates strange occurrences between his old friend and his multiple personalities. What are Dr. Jekyll and Mr. Hyde's first names?","Dr. Henry Jekyll, Mr. Edward Hyde",,TRUE,
History,The USS Arizona Memorial commemorates the victims of what event?,Pearl Harbor,,,
History,Who was the first British monarch to live in Buckingham Palace?,Queen Victoria,,,
History,"Used to complete the first transcontinental railway, the last spike was made of what material?",Gold,,,
History,"Which historic figure is famous for having said, ""Give Me Liberty or Give Me Death""?",Patrick Henry,,,
History,The image of Uncle Sam was first used during what war?,War of 1812,,,
History,What was U.S. President Wilson's first name?,Thomas (woodrow is middle name),TRUE,,
Food & Beverage,What is the name for the family of plants including the peanut and soybean?,legume,,,
Food & Beverage,"What tart fruit has a sweet variety called ""Meyer""?",Lemon,,,
Food & Beverage,What fruit is a hybrid of the mandarin orange and the grapefruit?,Tangelo,,,
Food & Beverage,"What vegetable gets its name from the Latin word for ""branch""?",Broccoli,,,
Food & Beverage,What fruit comes in Chubby Gray and Jubilee variety?,Watermelon,,,
Food & Beverage,"What type of food is ""Limburger""?",cheese,TRUE,,
Not So Common Sense,What is measured in Amperes?,Electric Current,,,
Not So Common Sense,What was the name given to the space missions that took place between the Mercury and Apollo missions?,Gemini,,,
Not So Common Sense,With what is charcoal and saltpeter mixed to make gunpowder?,Sulfur,,,
Not So Common Sense,What color is produced by the complete absorption of light rays?,Black,,,
Not So Common Sense,"What is the common name for iron oxide, which appears after iron has been exposed to air and water?",Rust,,,
Not So Common Sense,"Triton, first discovered on October 10, 1846, by English astronomer William Lassell, is the largest moon orbiting what planet? It is the only large moon in the Solar System with a retrograde orbit, an orbit in the direction opposite to its planet's rotation.",Neptune,TRUE,,
Geography,"At 8,891 kilometers (5,525 miles), what border, which sees over 100 million crossings per year, is the world's longest shared international boundary? The border includes 119 bridges, 13 ferry crossings, 39 railroad crossings, and 6 unstaffed road crossings.",US-CANADA,,TRUE,
Technology,"What game, whose first version was released on June 6, 1984 while its designer was working for the Dorodnitsyn Computing Centre of the Academy of Science of the Soviet Union, has shipped 170 million units making it the best-selling game of all time?",Tetris,,TRUE,
"History, Art & Literature","The Bhagavad Gita, a 700-verse scripture, is part of what Hindu epic of 200,000 verses that tells the story of the Kurukshetra War and the fates of the Kaurava and the Pāṇḍava princes? It is the longest epic poem known at nearly 10x the ""Illiad"" and ""Odyssey"" combined.",Mahabharata,,TRUE,
History,What was the name given to the space missions that took place between the Mercury and Apollo missions from 1961 to 1966?,Gemini,,,
History,Who wrote the classic American dystopian novel Fahrenheit 451 that was first published in 1953.,Ray Bradbury,,,
History,What was the name of H.G. Wells' first novel published in 1895?,The Time Machine,,,
History,In which European city did composer Richard Wagner die in 1883? ,Venice,,,
History,The Zimmermann Telegram resulted in US entry into what war?,WWI,,,
History,Who won the Nobel Prize in Physics for discovering the nuclear fission of heavy nuclei in 1944?,Otto Hahn,TRUE,,
Food & Beverage,What is the most popular animal eaten before it's born and after it's dead?,Chicken,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,What spirit is made from fermented molasses?,Rum,,,
Food & Beverage,What are the three simplest types of sugar?,"Glucose, Fructose, Galactose",,,
Food & Beverage,"What type of fruit juice is used to make the drink ""Fuzzy Navel""?",Orange,,,
Food & Beverage,"Though botanically a fruit, what food was officially ruled a vegetable by the US Supreme Court in 1893?",Tomato,TRUE,,
Not So Common Sense,How many carats is pure gold?,24,,,
Not So Common Sense,What is the largest and longest nerve in the human body?,Sciatic Nerve,,,
Not So Common Sense,What bird lays an egg that is roughly a quarter of its body weight and larger than any other bird on earth?,The Kiwi,,,
Not So Common Sense,"The name of what household product stands for ""water displacement, formulation successful in 40th attempt?",WD-40,,,
Not So Common Sense,When do coniferous trees lose their leaves?,Never,,,
Not So Common Sense,"Describe the scientific classification of our sun? temperature, spectra, type of reaction","Yellow dwarf, main sequence, G2V",TRUE,,
Entertainment,"What historic New York City hotel, built between 1883 and 1885 on West 23rd Street, was home to Arthur C. Clarke when he wrote ""2001: A Space Odyssey"", to Dylan Thomas before he passed, and was the location where Nancy Spungen was found stabbed to death?",The Chelsea,,TRUE,
Geography,"Lanzarote, an island located 78 miles off the coast of Africa and often called the ""Island of Eternal Spring"", is a member of what archipelago which was ruled by various French and Portuguese forces in the 1400s, but has been under Spanish rule since 1479?",The Canary Islands,,TRUE,
Mathematics,"What term describes the tiling of a flat plane using one or more geometric shapes, called tiles, with no overlaps and no gaps? These have been seen in the real world as decorative mosaic tiles dating back to ancient times.",Tesselation,,TRUE,
History,During what decade in the 1800s was the first US transcontinental railway completed?,1860s,,,
History,Which islands were the subject of a war between Argentina and United Kingdom in the 1980s?,Falkland Islands,,,
History,"In 1607, what became the first permanent English settlement in North America?","Jamestown, Virginia",,,
History,What European capital was first dubbed the City of Light in the 19th century?,Paris,,,
History,What concert hall was opened in New York in 1891?,Carnegie Hall,,,
History,"The Iran–Contra affair, a political scandal that occurred during the second term of the Reagan Administration, involved the sale of weapons to Iran through Israel, with the money funneled to rebels fighting the socialist government of what nation?",Nicaragua,TRUE,,
Food & Beverage,"What kind of cheese is most commonly sold in the US as processed ""string cheese""?",Mozzarella,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,"What vegetable is most commonly added to yogurt to make Indian ""raita""?",Cucumber,,,
Food & Beverage,Sauerbraten is a specialty beef dish that originated in what country?,Germany,,,
Food & Beverage,"What are the primary ingredients of the dish ""Angels on Horseback""?",Oysters and Bacon,,,
Food & Beverage,"What large North American beverage company has sought to diversify by purchasing craft brewers including 10 Barrel, Blue Point, Breckenridge, Devils Backbone, Elysian, Four Peaks, Golden Road, Karbach, and Wicked Weed?",Anheuser-Busch,TRUE,,
Not So Common Sense,Who Directed and starred in the American Classic Citizen Cane?,Orson Wells,,,
Not So Common Sense,What single initial is used for the real-life director of Britain's M16?,C,,,
Not So Common Sense,What do the letters S and A stand for in SAM missiles?,Surface to Air,,,
Not So Common Sense,"What country is credited with inventing the modern, self-igniting match?",France,,,
Not So Common Sense,How many laps must a driver survive to win the Indianapolis 500?,"200 laps, 500 miles",,,
Not So Common Sense,Who was king of England at the time of the Gunpowder Plot?,King James I,TRUE,,
Ge,"Quezon City, also known as QC or Kyusi, is the most populous city and former capital of what nation? It is part of a metropolitan area that, along with the capital, includes over 24 million residents.",Phillipines,,TRUE,
Art & Literature,"""The Decameron"", a collection of novellas containing 100 tales told by a group of seven young women and three young men sheltering in a secluded villa just outside Florence to escape the Black Death, was written by what 14th-century Italian?",Giovanni Boccaccio,,TRUE,
"History, Exploration","In 1770, James Cook charted the east coast of Australia for Great Britain, but the continent's first known landing by a European came in 1606 by an explorer from what nation? At least 29 other explorers from this nation visited the continent in the 17th Century.",Dutch - Willem Jansz,,TRUE,
History,What former US president founded the University of Virginia in 1819?,Thomas Jefferson,,,
History,On what holiday did construction of the Empire State Building begin in 1930?,St. Patricks Day,,,
History,"Who proposed the idea of ""Laissez-faire"" in his book the Wealth of Nations, published in 1776?",Adam Smith,,,
History,Which European republic was the first to reach Australia in 1606?,The Dutch,,,
History,"In 1853, what country sold the US land, in what was known as the Gadsden Purchase?",Mexico,,,
History,What four NHL teams did Wayne Gretsky play for in his career from 1979-1999?,"Edmonton Oilers, Los Angeles Kings, St. Louis Blues and New York Rangers",TRUE,,
Food & Beverage,"What kind of tea takes its name from the Chinese for ""Black dragon""?",Oolong,,,
Food & Beverage,In France what is a Framboise?,Raspberry,,,
Food & Beverage,What country is the original home of Bacardi rum?,Cuba,,,
Food & Beverage,A Winkle is a species of what kind of edible sea delicacy?,Sea Snail,,,
Food & Beverage,What must a mole do every four hours or it will die? Eat or Drink?,Eat,,,
Food & Beverage,What is Homer Simpson’s beer of choice?,Duff,TRUE,,
Not So Common Sense,"In 1968 what company introduced the Sting-Ray Krate, a forerunner to the BMX?",Schwinn,,,
Not So Common Sense,"In the card game Bridge, what is considered the highest of the four suits? What is the lowest?","Spades, Clubs",,,TRUE
Not So Common Sense,What was the original intended use for the RC car prior to being a toy?,War/Weapon,,,
Not So Common Sense,What is the longest running US game show?,The Price is Right,,,
Not So Common Sense,The clarinet is a member of what family of instruments?,Woodwinds,,,
Not So Common Sense,What was the name of Dracula’s sidekick?,Renfield,TRUE,,
Entertainment,"In S8E11 of The Office ""Trivia"" What was the name of the team won the trivia contest?        ",The Einsteins,,TRUE,
Geography,What is the oldest continuously inhabited city in the world with evidence of civilization dating back to 9000 B.C.?,Damascus Syria,,TRUE,
Science,"What is the most common form of medical imaging which uses electric field gradients, magnetic fields, and radio waves to form pictures of the anatomy and the physiological processes of the body in both health and disease?	",MRI - A CT scan is a combination of many X-rays to produce cross-sectional (tomographic) images. A PET scan detects pairs of gamma rays emitted by a tracer. Ultrasound uses sound waves with frequencies higher than the upper limit of human hearing.,,TRUE,
