category,question ,answer,bonus,final_trivia,double_jeopardy
Food & Beverage,What region in Italy is most famous for its Chianti?,Tuscany,,,
Food & Beverage,"Following Cheerios/Honey Nut Cheerios, what is the second-best selling cereal in the United States in terms of gross sales? In other markets it is known as ""Zucaritas"" or ""Sucrilhos"", and unlike many other cereals, generic versions are sold under the same name.",Frosted Flakes,TRUE,,
Not So Common Sense,What is the complementary colour of red?,green,,,
Not So Common Sense,In golf what would you put in your shag bag?,practice balls,,,
Not So Common Sense,What does the phrase Magna Cum Laude mean in English?,With Great Honor,,,
Not So Common Sense,How many engines does the B-52 bomber have?,8,,,
Not So Common Sense,"What forward, who played his entire 21-year career with the Quebec Nordiques/Colorado Avalanche franchise, led them to Stanley Cup titles in 1996 and 2001, winning the league MVP honors in 2001? He was inducted into the Hockey Hall of Fame in 2012.",Joe Sakic,,,
Not So Common Sense,"The intercostal muscles, several groups of muscles arranged into three principal layers - external, internal, and innermost, are located between, and assist in the elevation and bending of, what bones?                                               ",Ribs,,,
Not So Common Sense,How many successive Wimbledon titles did Bjorn Borg win? federer has 8,5,,,
Not So Common Sense,What is the line frequency of the North American power supply?,60Hz,TRUE,,
Science,"Bauxite, a sedimentary rock discovered in 1821 by geologist Pierre Berthier, is the world's main source of what element which, by mass, makes up about 8% of the earth's crust? After oxygen and silicon, it is the most abundant element in the crust.
",Aluminium,,TRUE,
Art & Literature,"What literary character, whose birth name was Robinson Kreutznaer, and whose story is thought to be based on the life of Scottish privateer Alexander Selkirk, was the subject of a famous 1719 work and four lesser-known sequels?",Robinson Crusue,,TRUE,
Geography,"The Mississippi–Missouri River, at 3,902 miles in length, is by far the longest in North America. What river, which flows through the Canadian Northwest Territories before emptying into the Beaufort Sea, is the second longest on the continent?",MacKenzie River,,TRUE,
History,Which U.S. president made the first presidential radio broadcast?,Calvin Coolidge,,,
"History,Presidents",What president delivered the gettysburg address?,Abraham Lincioln,,,
History,The penny-farthing was a type of what?,Bicycle,,,
History,What was the name of the ship on which Charles Darwin served as a naturalist during a voyage to South America and around the world?,H.M.S. Beagle,,,
History,Which christian missionary is said to have banished all the snakes from Ireland?,St. Patrick,,,
History,Who is credited with the assassination of American outlaw Jesse James?,Robert Ford,,,
History,Who was the first person and sherpa to climb mount everest?,"NZL Sir Edmund Hillary, Sherpa Tenzing Norgay",,,TRUE
History,"The Communist Manifesto was written by two German philosophers, one of whom was Karl Marx. Who was the second?",Karl Marx and Friedrich Engels,TRUE,,
Food & Beverage,Sriracha is type of hot sauce named after a city located in what country?,Thailand,,,
Food & Beverage,Roquefort is a French blue cheese made from the milk of what animal?,Sheep,,,
Food & Beverage,What is name of the scale used to measure the spicy heat of peppers?,Scoville Scale,,,
Food & Beverage,"Traditionally, the term ""caviar"" refers to the salt-cured roe of which fish?",Sturgeon,,,
Food & Beverage,What is a teetotaler?,A person who abstains entirely from consuming alcohol,,,
Food & Beverage,What is the highest number of Michelin stars a restaurant can receive?,3,,,
Food & Beverage,What is the name of Scotland's National Food Dish?,Haggis,,,
Food & Beverage,"Name 3 of the 5 ""mother sauces"" in french cuisine.","Béchamel sauce, Espagnole sauce, Hollandaise sauce, Tomato sauce, and Velouté sauce.",TRUE,,
Not So Common Sense,How many years are in a score?,20 years,,,
Not So Common Sense,"What is considered to be the largest ""berry""?",Pumpkin/Watermelon,,,
Not So Common Sense,Which is the most abundant metal in the earth's crust?,Aluminum,,,
Not So Common Sense,In what month is the Earth closest to the sun?,January,,,
Not So Common Sense,What is the most common blood type in humans? What is the least common?,"	O+, AB -",,,
Not So Common Sense,Who developed and patented the electrical telegraph in the United States in 1837?,Samuel Morse,,,
Not So Common Sense,"""Call me Ishmael"" is the opening line from what novel?",Moby Dick,,,
Not So Common Sense,How do you spell Arnold Schwarzenegger correctly?,Arnold Schwarzenegger ,TRUE,,
Not So Common Sense,"In the Standard Model of Elementary Particles, one of the major classes of sub-atomic particles are fermions, which include quarks and their various flavors, as well as what other particle type which includes electrons, muons, taus, and various types of neutrinos?",Leptons,,TRUE,
Geography,"The oceanic pole of inaccessibility is the place in the ocean that is farthest from land. Located in the South Pacific 1,670 miles from the nearest island, what is the name for this point? It is Latin for ""no one"".",Nemo,,TRUE,
Art & Literature,"""Apocalypse Now"" follows Captain Willard on his hunt for Colonel Kurtz during the Vietnam War. It is based on 1899's ""Heart of Darkness"", which also featured Kurtz, but had a different main character. Who was searching for Kurtz in the original work?",Charles Marlow,,TRUE,
History,Which car manufacturer was the first to include seat belts as a standard feature in their vehicles?,"Saab - American car manufacturers Nash (in 1949) and Ford (in 1955) offered seat belts as options, while Swedish Saab first introduced seat belts as standard in 1958.",,,
History,"2014 was the year the________ Flagpole was constructed in Saudi Arabia, becoming the tallest flagpole in the world at 171 metres (561 ft) high? It has ben the Tallest flagpole in the world since its erection.",Jeddah,,,
History,What was the name of the world's first nuclear submarine and the first submarine to complete a submerged transit of the North Pole on 3 August 1958?,USS Nautilus,,,
History,What is the name of the treaty that ended the american revolutionary war?,Treaty of Paris,,,
History,In what country was Adolf Hitler born?,Austria (-Hungary),,,
History,What was the name of the nation that was created and led by Cyrus the Great or Cyrus the II?,Persia,,,
History,In 1954 who become the first person to run a mile in under 4 minutes?,Roger Bannister,,,
"History,Presidents",What are the names of the US Presidents that have been assasinated?,"Lincoln, James Garfield, William McKinley, JFK",TRUE,,
Food & Beverage,What ingredient must French vanilla ice cream have in it to distinguish it from regular vanilla?,Eggs,,,
Food & Beverage,What was the original brand of cereal whose mascot was CinnaMon?,Apple Jacks,,,
Food & Beverage,Which food manufacturer produces and sells Cheez Whiz?,Kraft,,,
Food & Beverage,What does barley become when prepared for brewing?,Malt,,,
Food & Beverage,"To determine the percentage of alcohol in a bottle of liquor, what is divided by two?",Proof,,,
Food & Beverage,In the game Ms. Pac-Man eating what fruit was worth 5000 points?,Banana,,,
Food & Beverage,How many beans of coffee are needed to make an espresso?,40,,,
Food & Beverage,Which civilizations created the basis for modern day peanut butter?,Incas and Aztecs,TRUE,,TRUE
Not So Common Sense,1. What Hartford manufacturing company began making hex-head wrenches during World War II?,The Allen Manufacturing Company,,,
Not So Common Sense,"3,333,360 points is the maximum number of points you can score in what video game?",Pac-Man,,,
Not So Common Sense,"The card game ""Penguin"" is a variation of what other card game?",Solitaire,,,
Not So Common Sense,"According to an old medical saying, ""An ounce of what is worth a pound of cure""?",Prevention,,,
Not So Common Sense,What black and white bird is the official state bird of Minnesota?,(Common) Loon,,,
Not So Common Sense,What's the only Grand Slam tennis event still played on grass?,Wimbledon,,,
Not So Common Sense,How many players are there in a standard ultimate frisbee team?,7,,,
Not So Common Sense,Which European city is served by Galileo Galilei Airport?,Pisa,TRUE,,
Not So Common Sense,"What is the name of the largest gem-quality diamond ever discovered? It was extracted weighing 3,106.75 carats from a South African mine in 1905 and presented to Edward VII. The largest stones cut from it reside in various pieces of the Crown Jewels.",Cullinan Diamond,,TRUE,
Geography,"The War of the Pacific, also known as the Saltpeter War, fought between 1879 and 1884 over Chilean claims on the Pacific Coast and in the Atacama Desert, resulted in Chile taking the coastal region of what nation, leaving it landlocked?",Bolivia,,TRUE,
Art & Literature,The famous American writer Samuel Langhorne Clemens is better known by what pen name?,Mark Twain,,TRUE,
History,Capitalizing on the chaos of WWI what nation declared independence from Russia in 1917.,Finland,,,
History,What was the name of the nation that was led by Frederick the Great?,Prussia,,,
History,Who was the Texas governor also injured in the JFK assassination?,John Connally,,,
History,In what city was R.M.S. Titanic built in by the White Star Line from 1909-1912?,"Belfast, UK",,,
History,Who is credited with inventing the V-2 rocket for Nazi Germany and later the Saturn V rocket for the United States?,Wernher Von Braun,,,
History,Francis Bacon was knighted in 1603 for his proposals related to the unification of England and which other country?,Scotland,,,
History,Who was the first US President to be impeached by the US House of Representatives?,Andrew Johnson,,,
History,What was the name of the man who assasinated the Archduke Frank Ferdinand in Serijevo in 1914? The assasination was the event that sparked WWI,Gavrilo Princip,TRUE,,
Food & Beverage,"In what decade was the restaurant chain ""Steak 'n Shake"" founded in? 30s, 50s, 70s",30s - 1934,,,
Food & Beverage,What fruit is used to make Calvados? brandy from normandy france,Apple or Pear,,,
Food & Beverage,What do you ferment to make kombucha?,Sweet tea,,,
Food & Beverage,What is the world's biggest-selling brand of tea?,Lipton,,,
Food & Beverage,Mr. Big is the name of the largest chocolate bar ever produced.  What confectioner made this chocolate bar?,Cadbury,,,
Food & Beverage,What fruit flavour is used in Crepes Suzette?,Orange/Tangerine,,,
Food & Beverage,"In what decade were Reese's Peanut Butter Cups first introduced to the US market? 1920s, 40s, or 60s",1920s - 1928,,,
Food & Beverage,"What food company is listed on the New York Stock Exchange with the single letter ""K""?",Kelloggs,TRUE,,
Not So Common Sense,"""blue laws"" is the name given to laws or ordinances designed to prohibit certain activities on what day?",Sundays,,,
Not So Common Sense,How many points must a player score in a game of cribbage to win?,61 or 121,,,TRUE
Not So Common Sense,"What company helped the US Army Corps of Engineers develop the ""walkie-talkie"" in the early 1930’s?",Motorola,,,
Not So Common Sense,"To a golfer what is a ""Frosty""?",Score 8 on a hole,,,
Not So Common Sense,"What is the term used for stable, well-established stocks that comes from a $10 bet in poker?",blue chips,,,
Not So Common Sense,What instrument do Australian Aborigines traditionally make from termite-hollowed eucalyptus trees?,didgeridoo,,,
Not So Common Sense,Where is your Popliteal Fossa located?,Back of the knee,,,
Not So Common Sense,"In terms of decibels, what is normally the loudest instrument in a symphony orchestra?",Trombone,TRUE,,
Science,"What periodic table group, whose name means ""salt-producing"", is the only group that contains elements in three different states at standard temperature and pressure? Its name was proposed by German chemist Johann Schweigger in 1811.",Halogens,,TRUE,
Geography,"Point Udall, named for an Arizona congressman, is the westernmost point in the US. A different Point Udall, named for a former Interior Secretary, is the easternmost point in the US. In what two states and/or territories will you find these extremes?","US Virgin Islands, Guam",,TRUE,
"History,Business","What Scottish economist and moral philosopher, a key figure during the Scottish Enlightenment, laid the foundations of classical free market economic theory? His first of two classic works, ""Theory of Moral Sentiments"", was published in 1759.",Adam Smith,,TRUE,
History,1. What structure did the Chrysler Building surpass in 1929 as the tallest building in the world?,Eiffel Tower,,,
History,Which US amendment to the Constitution limits the president to two terms?,22nd,,,
History,What disorder did Muhammad Ali develop after retiring from boxing?,Parkinson's,,,
History,One­ third of all the US Marines that died during World War II died on what island?,Iwo Jima,,,
History,"Where was George A. Custer defeated by Sitting Bull? Lakota, Arapahoe, Cheyenne.        ",Little Bighorn,,,
History,"In what war did the oak-sided USS Constitution gain its nickname ""Old Ironsides""? - still visit in boston harbor today.",War of 1812,,,
History,"Which famous piece of artwork depicts the ""Battle of Hastings"" - the culmination of the Norman conquest of england in the 11th century?",Bayeux Tapestry,,,
History,What was the name of the region where Julius Caesar's launched first campaign of war?,Conquest of Gaul,TRUE,,
Food & Beverage,"What US state was ""Steak 'n Shake"" founded in?",Illinois,,,
Food & Beverage,What tropical fruit is the main ingredient in Thai som tam salad?,Papaya,,,
Food & Beverage,Which significant beverage did John Pemberton invent in 1886?,Coca-Cola,,,
Food & Beverage,What type of pasta is usually shaped like little wagon wheels?,Rotelle,,,
Food & Beverage,What French beverage is made by mixing apple juice with apple brandy and aging it in barrels?,Pommeau,,,
Food & Beverage,What types of beer are usually used in the making of a Black and Tan?,Lagar & Stout,,,
Food & Beverage,How many years did prohibition last in the US?,13 - 1920-1933,,,
Food & Beverage,For what purpose did George Washington Carver originally encourage farmers to grow peanuts?,Crop Rotation,TRUE,,
Not So Common Sense,"What is the name of the cat in the Disney movie ""Cinderella""?",Lucifer,,,
Not So Common Sense,In what US state would you find Fort Hood?,Texas,,,
Not So Common Sense,What is the world's second largest country?,"Canada (rus, can, china, usa)",,,
Not So Common Sense,"How many dots are on a Pac-Man board? 140, 240, 340",240,,,
Not So Common Sense,What US President is depicted on the purple heart?,George Washington,,,
Not So Common Sense,What is the sum of all the numbers on a roulette wheel?,666,,,
Not So Common Sense,Who is the Greek equivalent of the Roman god Apollo?,Apollo,,,
Not So Common Sense,The Orient Express is a train route between what two cities?,Paris and Istanbul,TRUE,,
Science,"What village on the Swedish island of Resarö, at which quartz has been mined since the 1500s, yielded the discovery of eight rare earth elements, lending its name to four of them? It is the source of more element names than anywhere else on the planet.",Ytterby,,TRUE,
Not So Common Sense,"Differing from diurnal behavior, in which an animal is active during daylight, and nocturnal behavior, in which an animal is active during darkness, what term applies to animals that are primarily active during twilight (around dawn and around dusk)?",Crepuscular,,TRUE,
History,"What Spanish/Portuguese explorer, born in 1497, was, in 1542-43, the first European to navigate the coast of present-day California? Prior to exploring the California region, he worked with Hernán Cortés and was one of the richest conquistadores in history.",Juan Rodríguez Cabrillo,,TRUE,
Rock and Roll,"1.When John Lennon was shot by Mark David Chapman, what book was Chapman holding and reading from when the police arrived?",Catcher in the Rye,,,
Rock and Roll,"Def Leppard started in 1978 in Sheffield, England but did not find major commercial success until their third album with Mutt Lange ""Hysteria."" What was the first album called which brought only limited attention to the band?",On Through The Night,,,
Rock and Roll,"Which performer made his last concert appearance on June 26, 1977, in Indianapolis?",Elvis Preseley,,,
Rock and Roll,"What do Kurt Cobain, Jim Morrison and Janis Joplin have in common?",They All died at 27,,,
Rock and Roll,"Of the following songs by the Beach Boys, which was about a car?",409,,,
Rock and Roll,Who assisted John Lennon and Paul McCartney in writing 'Yellow Submarine'?,Donovan Leitch,,,
Rock and Roll,Hey Ho Let's Go!'?,The Ramones,,,
Rock and Roll,"I pick up another album and find myself looking at a picture of a young looking kid with angel wings, smoking a pack of cigarettes! What band plays the music on the album I'm looking at?",Van Halen,TRUE,,
Drugs,The term “dabbing” refers to smoking extracts from what drug?,Marijuana.,,,
Drugs,What substance was invented by the Bayer Company in Germany in the late 1800's and thought to be a cure for morphine addiction.,Heroin,,,
Drugs,"When we drink alcohol, what, specifically, are we usually drinking?",Ethyl alcohol,,,
Drugs,"This term actually means to induce sleep, but the public often interprets it, wrongly, to mean any legal drug sometimes used illegally.",Narcotic,,,
Drugs,Wine is made by which process?,fermentation,,,
Drugs,What US government organization conducted numerous tests with LSD on humans (many of these tests were unethical)?,CIA,,,
Drugs,Whippets' is a common name used for the abuse of which commonly available gas?,Nitrous Oxide,,,
Drugs,"When LSD became illegal in 1966, a number of chemists went underground so to continue to supply people with the drug. Probably, the most famous of these individuals worked as a sound engineer for rock bands like the Grateful Dead and Jefferson Airplane. His nickname was ""Bear."" In 1966 he was arrested and The San Francisco Chronicle's headline read ""LSD Millionaire Arrested."" What was his name?",Owsley Stanley ,TRUE,,
Sex,"1. Across the globe, about how many times a year are lovers having sex? Give or take 10.",139,,,
Sex,2. How many sexual positions are described in the Kama Sutra?,18,,,
Sex,3. A researcher studying brain activity said that the brain during an orgasm is similar to the brain of a person taking heroin. How similar percentage wise?,95,,,
Sex,"4. In both men and women, the part of the brain known as the lateral orbitofrontal cortex shuts down during orgasm. What is this part of the brain known for?",reason and behavioral control,,,
Sex,5. What was given out to celebrate the birthday of King Bjumbal in Thailand in 1983?,free vasectomies,,,
Sex,6. A Sitophilliac gets sexually aroused from what?,Food in sex play,,,
Sex,7. What creature has a sex organ 20 times the length of its body?,a barnacle,,,
Sex,"BONUS: What did Socrates,  Aristotle, and  Janis Joplin have in common?",They were bisexuals,TRUE,,
Sex,"Coprolalia is the sexual fetish for?
",Profanity,,TRUE,
Drugs,"Dr. Timothy Leary was a professor of psychology who first tried LSD in the late 1950's. He immediately ""fell in love"" with the psychedelic chemical. Leary began conducting experiments and giving LSD to some of his students for consumption. Parents then began to complain to the school's administration. Eventually, Tim Leary, along with his assistant professor Richard Alpert, were fired. What was this school?",Harvard University,,TRUE,
Rock and Roll,What is Ozzy Osbourne's real first name?,John,,TRUE,
History,"What federal agency, under the DOJ, merged the existing BNDD and ODALE with 600 agents from customs and other federal offices when formed in 1973? The current head of the agency is Uttam Dhillon.",DEA,,,
History,"What company, founded in 1917 as Japan Optical Industries and a member of the Mitsubishi group, is known for its digital cameras and optical gear including its Coolpix line? It introduced its new full-frame mirrorless Z series cameras in late 2018.",Nikon,,,
History,What chapel do Cardinals congregate in to elect a new Pope?,Sistine Chapel,,,
History,What was the first product to have a barcode?,Wrigley's gum,,,
History,"What year did the famous Sears Tower in Chicago had its name changed to the ""Willis Tower""?",2009,,,
History,Citizens of what empire are credited with starting the tradition of gift giving?,Romans,,,
History,"Following the death of his first Vice President, George Clinton, who was the first President to serve part of his term without a VP? He was re-elected for a second term with Elbridge Gerry as his running mate.",James Madison,,,
History,"In which capital city was the crime fighting organisation ""Interpol"" founded in 1923?",Vienna,TRUE,,
Food & Beverage,What colour M&Ms did not exist from 1976 to 1987 due to health concerns regarding the dye?,Red,,,
Food & Beverage,What are the two primary ingredients that go into a Hollandaise sauce?,Butter and egg yolks,,,
Food & Beverage,What year did Frank's RedHot sauce first appear on the market?,1920,,,
Food & Beverage,Edam cheese (semi-hard cheese) originated in which country?,The Netherlands,,,
Food & Beverage,In 1930 what iconic Hostess desert was invented?,Twinkie,,,
Food & Beverage,What brand of seasoning was named after a famous prime rib restaurant?,Lawry's,,,
Food & Beverage,What is the technical name for the chef's hat?,Toque Blanche,,,
Food & Beverage,What did Nestle freeze dry in 1938 that led to the development of powdered food products?,Coffee,TRUE,,
Not So Common Sense,"What word means ""so be it"" in Hebrew?",Amen,,,
Not So Common Sense,What does the abbreviation CSS stand for?,Cascading Style Sheets,,,
Not So Common Sense,What letter is least used in the English language?,Z,,,
Not So Common Sense,What is the name of the kneeling cushions in churches?,Hassocks,,,
Not So Common Sense,"How many sheets of paper are there in a ream? 250, 500, 1000",500,,,
Not So Common Sense,What color is the one-ball in a traditional billiards set?,yellow,,,
Not So Common Sense,"What is the critical card to ""shoot the moon"" the game of Hearts?",Queen of Spades,,,
Not So Common Sense,"What chemical element, number 18 on the periodic table and the third most abundant gas in Earth's atmosphere at almost 1% (more than 20x as abundant as carbon dioxide), takes its name from a Greek word meaning ""lazy"" or ""inactive""? ",Argon,TRUE,,
Science,"What astronomical unit of length is defined as the distance from the Sun to another astronomical object that has a parallax angle of one arcsecond? The nearest star, Proxima Centauri, is roughly 1.3 units away, and most stars in the sky are within 500 units.
",Parsec,,TRUE,
Art & Literature,"""Arrangement in Grey and Black No.1"", one of the most famous works from an American artist, which was created in 1871 and currently hangs in the Louvre Abu Dhabi, was created by what Massachusetts born painter while he was living in London?",James McNeill Whistler,,TRUE,
Business,"What airline, formed in 1924, which purchased Pan Am's East coast and European routes in the 90s and merged with Northwest Airlines in 2008, and is based at the world's busiest airport, is the world's second largest carrier by both revenue and passengers?",Delta Air Lines,,TRUE,
History,"The US Midwest experienced a severe drought known as the Dust Bowl, during what decade?",1930s,,,
History,What Mexican general led the attack against the Alamo in 1836?,President General Antonio López de Santa Anna,,,
History,The United Nations replaced the League of Nations in what year?,1945,,,
History,"When it was first created in 1938, what was the minimum federal wage in the US?",25 cents/ hour - $1 day,,,
History,"The unidentified serial killer, Jack the Ripper, was active during what year, and what country in the late 1800's?","1888, London, England",,,TRUE
"History,Presidents",Who was the first US president to take the oath of office using a nickname?,Jimmy Carter,,,
"History,Sports",Who was the last tennis player to win a Grand Slam using a wooden racquet?,Bjorn Borg,,,
"History,Technology",Who co-­founded Microsoft with Bill Gates?,Paul Allen,TRUE,,
Food & Beverage,"""Double Your Pleasure, Double Your Fun"" was an ad slogan used by what product?",Wrigley's Doublemint gum,,,
Food & Beverage,What common lasagna ingredient is actually a by-product of mozzarella?,Ricotta,,,
Food & Beverage,What food is also known as the apple of love or the love apple?,The tomato,,,
Food & Beverage,What is traditionally the main fruit ingredient in Black Forest cake?,Black Cherries,,,
Food & Beverage,What is the dominant fruit flavoring in Southern Comfort?,Peach,,,
Food & Beverage,"In the restaurant industry, what number does the kitchen commonly assign to an item that they've run out of?",86,,,
Food & Beverage,What variety of beans is used to prepare Boston baked beans?,Navy Beans,,,
Food & Beverage,What are the two basic categories of Scotch Whiskey?,Malt and Grain,TRUE,,
Not So Common Sense,What word refers to minimum attendance necessary for US Congress to conduct business?,Quorum,,,
Not So Common Sense,How long is a fortnight?,14 days,,,
Not So Common Sense,"In fitness and nutrition, what does the acronym ""BMI"" stand for?",Body Mass Index,,,
Not So Common Sense,What is the term used for the science of growing an apple?,Pomology,,,
Not So Common Sense,What digit does not exist in Roman Numerals?,Zero,,,
Not So Common Sense,Which male vocal range is pitched between tenor and bass?,Baritone,,,
Not So Common Sense,"How many bones are there in the human body? 206, 211, 221",206,,,
Not So Common Sense,What are the warm winds that blow off the Rocky Mountains called?,Chinooks,TRUE,,
Art & Literature,"What Italian scholar and poet, the founder of Humanism, is often credited with initiating the 14th-century Renaissance with his rediscovery of Cicero's letters? His sonnets were admired and imitated throughout Europe during the Renaissance.
",Petrarch - Francesco Petrarca,,TRUE,
Geography,"The Gravina Island Bridge, a boondoggle referred to as the ""Bridge to Nowhere"", was to link Gravina Island, its International Airport, and 50 residents with the town of Ketchikan at a cost of nearly $400 million. In what state was this bridge proposed to be built?",Alaska,,TRUE,
History,"What battle, fought between July 1st and November 18th of 1916 by the armies of the British Empire and French Third Republic against the German Empire, and named for a river in France, was the largest battle of the First World War on the Western Front?",Battle of the Somme,,TRUE,
History,What is the nationality of the first woman in space?,Soviet/Russian - Valentina Tereshkova,,,
History,At which famous American battle was General Custer defeated by Sitting Bull in June 1876?,Little Bighorn,,,
History,How many days were there in the ancient Egyptian year?,365,,,
History,"How long did the American Revolutionary War last? 8, 10, 12",8 years,,,
History,Herodotus is commonly referred to as the father of what?,History,,,
History,What were the two world leaders in power when France sold the US The Louisiana Purchase in 1803 for $15 Million Dollars?,"Jefferson, Napolean",,,TRUE
History,What was Alaska called before 1867?,Russian America,,,
History,"What Greek physician is known as ""The Father of Medicine""?",Hippocrates,TRUE,,
Food & Beverage,What flavor is Grand Marnier?,Orange,,,
Food & Beverage,The first Starbucks outside of North America was opened in what country?,Japan,,,
Food & Beverage,What is the common name for coagulated soy milk curd pressed into blocks?,tofu,,,
Food & Beverage,What company makes Reese's Peanut Butter Cups?,Hershey's Company,,,
Food & Beverage,Which country did bagels originate from?,Poland,,,
Food & Beverage,What fruit comes in Hass and Florida variety?,Avocado,,,
Food & Beverage,Where does the ghost pepper originate?,Bangladesh,,,
Food & Beverage,"At resturants, what is the most ordered food in AMerica?",Fried Chicken,TRUE,,
Not So Common Sense,What was the Leaning Tower of Pisa originally used as?,Bell tower,,,
Not So Common Sense,"What relative does a Russian call ""babushka""?",Grandmother,,,
Not So Common Sense,What holds the bit in a drill?,Chuck,,,
"Not So Common Sense,Biology","Found in Red Blood cells, what is the oxygen carrying protein?",Hemoglobin,,,
Not So Common Sense,"""Pips"" is the correct term for the dots on what game pieces?",Dominoes,,,
Not So Common Sense,What is the name given for a two-hulled boat?,Catamaran,,,
Not So Common Sense,What English Earl's name is now associated with a type of sweater?,Earl of Cardigan ,,,
"Not So Common Sense,Sports",What is Tiger Woods' real first name?,Eldrick Tont Woods,TRUE,,
Technology,"What technology company, founded in 1891 and based in Amsterdam, Netherlands, developed the cassette tape in 1962 and followed that by developing the compact disc, along with Sony, in 1982? It is currently the world's largest lighting manufacturer.
",Philips,,TRUE,
