category,question,answer,bonus,final_trivia,double_jepardy
Not So Common Sense,The Hall of Mirrors is the largest room in what famous structure?,Palace of Versailles,,,
Not So Common Sense,"While Will Shortz has been editor of the New York Times Crossword Puzzle, a timeframe spanning 1993 to present, what word, originating from Latin and defined as a period of time, has been the most common answer?",Era,TRUE,,
"Entertainment,James Bond","List the names of the 5 of the 7 James Bond actors in the Bond films.	","Sean Connery, David Niven, George Lazenby, Roger Moore, Timothy Dalton, Pierce Brosnan, Daniel Craig",,TRUE,
Not So Common Sense,Spell Arnold Schwarzenegger correctly.,Schwarzenegger,,TRUE,
Art & Literature,Who was the first ever rap artist to the prestigious Pulitzer Prize for journalism?,Kendrick Lamar,,TRUE,
History,Which U.S. president made the first presidential radio broadcast?,Calvin Coolidge,,,
History,What president delivered the gettysburg address?,Abraham Lincioln,,,
History,the penny-farthing was a type of what?,Bicycle,,,
History,What was the name of the ship on which Charles Darwin served as a naturalist during a voyage to South America and around the world?,H.M.S. Beagle,,,
History,Which christian missionary is said to have banished all the snakes from Ireland?,St. Patrick,,,
History,"The Communist Manifesto was written by two German philosophers, one of whom was Karl Marx. Who was the second?",Karl Marx and Friedrich Engels,TRUE,,
Food & Beverage,Sriracha is type of hot sauce named after a city located in what country?,Thailand,,,
Food & Beverage,Roquefort is a French blue cheese made from the milk of what animal?,Sheep,,,
Food & Beverage,What is the highest number of Michelin stars a restaurant can receive?,3,,,
Food & Beverage,Chimichurri is a green sauce that originated in what country?,Argentina,,,
Food & Beverage,What is name of the scale used to measure the spicy heat of peppers?,Scoville Scale,,,
Food & Beverage,"Traditionally, the term ""caviar"" refers to the salt-cured roe of which fish?",Sturgeon,TRUE,,
Not So Common Sense,How many years are in a score?,20 years,,,
Not So Common Sense,"What is considered to be the largest ""berry""?",Pumpkin/Watermelon,,,
Not So Common Sense,Which is the most abundant metal in the earth's crust?,Aluminum,,,
Not So Common Sense,In what month is the Earth closest to the sun?,January,,,
Not So Common Sense,The island of Saipan is a commonwealth of which country?,U.S.A.,,,
Not So Common Sense,What is the most common blood type in humans?,O+,TRUE,,
Geography,"What park, encompassing nearly 3.4 million acres between the Great Basin and Mojave deserts, is the largest national park in the lower 48 United States? It was established as a National Monument in 1933 and named a National Park in 1994.",Death Valley NP,,TRUE,
History,"In 1791, what military engineer, who served in the Continental Army during the American Revolutionary War, developed an urban plan for the city of Washington D.C.?",Pierre Charles L'Enfant,,TRUE,
Art & Literature,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" is about a London lawyer named Gabriel John Utterson who investigates strange occurrences between his old friend and his multiple personalities. What are Dr. Jekyll and Mr. Hyde's first names?","Dr. Henry Jekyll, Mr. Edward Hyde",,TRUE,
Science,What is in the Red Data List?,Endagered/Threatened Species,,,
Science,Which Russian chemist created the modern periodic table?,Dmitri Mendeleev,,,
Science,Long-period comets are believed to come from where?,Oort Cloud,,,
Science,What does uranium become when it has lost all of its radioactivity?,Lead,,,
Science,A benzene ring is made up of atoms of what 2 elements?,"Carbon, Hydrogen",,,TRUE
Science,Who won a Nobel Prize for discovering Penicillin?,Alexander Fleming,TRUE,,
Food & Beverage,Gouda cheese originated in which country?,Netherlands,,,
Food & Beverage,The first Starbucks outside of North America was opened in what country?,Japan,,,
Food & Beverage,What nut is hidden in Christmas rice pudding in Sweden?,Almond,,,
Food & Beverage,Where was the first Chipotle restaurant located?,Denver,,,
Food & Beverage,"What fruit was originally called the ""Chinese Gooseberry""?",Kiwi,,,
Food & Beverage,Name 3 of the 5 mother sauces in French Cuisine,"béchamel, velouté, espagnole, hollandaise, and tomato",TRUE,,
Not So Common Sense,What is the only U.S. state that borders an ocean and a Great Lake?,New York,,,
Not So Common Sense,Wasit Overalls was the original name for clothing item?, Jeans,,,
Not So Common Sense,The Silver Lion is awarded at which film festival?,Venice,,,
Not So Common Sense,What morbid structure traditionally has thirteen steps?,A Gallow,,,
Not So Common Sense,What are the official flowers of the Kentucky Derby?,Roses,,,
Not So Common Sense,"What is the next word in the series - Lima, Mike, November?",Oscar,TRUE,,
History,"Growing from a few North German towns in the late 1100s, what confederation, which takes its name from the Old High German word for a convoy, dominated Baltic maritime trade along the coast of Northern Europe for three centuries?

 They had their own legal system and operated their own armies for mutual protection and aid. ",Hanseatic League,,TRUE,
Astronomy,"What theoretical area of predominantly icy objects, proposed at distances ranging from 2,000 to 200,000 AU (0.03 to 3.2 light-years) from the Sun, and named for a Dutch astronomer, is divided into an inner disc-shaped region and an outer spherical region?",Oort Cloud,,TRUE,
History,Achilles' heel was the result of him being dipped from his ankle in what mythical river?,The Styx,,,
History,What newspaper was founded in 1889 by Charles H. Dow and Edward Jones and is now the 5th most circulated newspaper in the US?,Wall Street Journal,,,
History,What was the first living creature to go into orbit in November 1957?,a Dog,,,
History,"In 1848, what current US state was ceded to the US from Mexico?",California,,,
History,Which Beethoven symphony became associated with victory in WWII?,the 5th,,,
History,Who is generally regarded as the inventor of the internal combustion automobile with a reliable 2-stroke engine?,Karl Benz,,,
History,"In 2011 the Standard & Poor credit rating agency reduced the United States' debt rating from AAA to AA+. There are currently only two companies that have kept a AAA rating, meaning that their debt is considered safer than Treasury Bonds. Who are they?","Microsoft, Johnson and Johnson",,,TRUE
History,"According to legend, what medieval fortification located in North Cornwall and owned by Charles, Prince of Wales, has a long association with legends related to King Arthur and has been considered his birthplace since the 12th century?",Tintagel Castle,TRUE,,
Food & Beverage,"A Kamikaze cocktail contains triple sec, lime juice and what?",Vodka,,,
Food & Beverage,What type of berry was once believed to cause birthmarks when eaten by pregnant women?,Strawberry,,,
Food & Beverage,Approximately how much more beer would you get in a pint served in the UK compared to one served in the US?,100ml - 1/2 cup - 3.4 oz,,,
Food & Beverage,What is the pure spirit distilled from wine?,Brandy,,,
Food & Beverage,Hawaii is the only US state to grow what?,Pinapples,,,
Food & Beverage,What is the largest cultivated crop in the United States?,Corn,,,
Food & Beverage,Irish coffee is made with what type of alcohol?,Whiskey,,,
Food & Beverage,"What is the name given to the dish of dates, or prunes, wrapped in bacon?",Devils on Horseback,TRUE,,
Not So Common Sense,What is non-rhyming poetry called?,Blank Verse,,,
Not So Common Sense,"According to the novel, Who was marooned on his remote island for 27 years? (Friday)",Robinson Crusoe,,,
Not So Common Sense,Kandor is the former capital city of what fictional planet?,Krypton,,,
Not So Common Sense,What was the name of Sherlock Holmes' intelligent brother?,Mycroft Holmes,,,
Not So Common Sense,"In 1939 classic ""The Wizard of Oz"", what was the lion in search of?",Courage,,,
Not So Common Sense,Juventas was the Roman goddess of what?,Youth,,,
Not So Common Sense,"Who was awarded the 2016 Nobel Prize for Literature ""for having created new poetic expressions within the great American song tradition.""?",Bob Dylan,,,
Not So Common Sense,"What famous composer composed the ""Brandenburg Concertos""?",Bach,TRUE,,
Biology,"The taxonomic order Lagomorpha, whose members have four incisors in their upper jaw and are almost strictly herbivorous, are made up of what animals, one of the top ten pets in the United States according to the American Veterinary Medical Association?",Rabbits and Hares,,TRUE,
Geography,"The Pan-American highway extends from the southern tip of South America to Prudhoe Bay, Alaska. It can be driven end-to-end except for a ~60-mile section which was never completed. What is the name of the uncompleted section?",The Darien Gap,,TRUE,
History,"What is the common name for the military organization, powerful during the Middle Ages, officially named ""Poor Fellow-Soldiers of Christ and of the Temple of Solomon""? They were founded in 1119, recognized by a papal bull in 1139, and active until 1312.",Kinghts Templar,,TRUE,
History,During what decade in the 1800s was the first US transcontinental railway completed?,1860s,,,
History,Which islands were the subject of a war between Argentina and United Kingdom in the 1980s?,Falkland Islands,,,
History,"In 1607, what became the first permanent English settlement in North America?","Jamestown, Virginia",,,
History,What European capital was first dubbed the City of Light in the 19th century?,Paris,,,
History,What concert hall was opened in New York in 1891?,Carnegie Hall,,,
History,"The Iran–Contra affair, a political scandal that occurred during the second term of the Reagan Administration, involved the sale of weapons to Iran through Israel, with the money funneled to rebels fighting the socialist government of what nation?",Nicaragua,TRUE,,
Food & Beverage,"What kind of cheese is most commonly sold in the US as processed ""string cheese""?",Mozzarella,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,"What vegetable is most commonly added to yogurt to make Indian ""raita""?",Cucumber,,,
Food & Beverage,Sauerbraten is a specialty beef dish that originated in what country?,Germany,,,
Food & Beverage,"What are the primary ingredients of the dish ""Angels on Horseback""?",Oysters and Bacon,,,TRUE
Food & Beverage,"What large North American beverage company has sought to diversify by purchasing craft brewers including 10 Barrel, Blue Point, Breckenridge, Devils Backbone, Elysian, Four Peaks, Golden Road, Karbach, and Wicked Weed?",Anheuser-Busch,TRUE,,
Not So Common Sense,Who Directed and starred in the American Classic Citizen Cane?,Orson Wells,,,
Not So Common Sense,What single initial is used for the real-life director of Britain's M16?,C,,,
Not So Common Sense,What do the letters S and A stand for in SAM missiles?,Surface to Air,,,
Not So Common Sense,"What country is credited with inventing the modern, self-igniting match?",France,,,
Not So Common Sense,How many laps must a driver survive to win the Indianapolis 500?,"200 laps, 500 miles",,,
Not So Common Sense,Who was king of England at the time of the Gunpowder Plot?,King James I,TRUE,,
Science,What black stone is the most common volcanic rock on Earth?,Basalt,,,
Science,What is the only insect that can turn its head?,Praying Mantis,,,
Science,"Who was the first American astronaut to orbit the Earth, circling it three times in 1962?",John Glenn,,,
Science,How many ventricles does the brain have?,4,,,
Science,In what gland is human growth hormone produced?,The Pituitary,,,
Science,What are the four layers of the rainforest?,"Emergent, Canopy, Understory, Forest Floor",TRUE,,
Geography,"What park, encompassing nearly 3.4 million acres between the Great Basin and Mojave deserts, is the largest national park in the lower 48 United States? It was established as a National Monument in 1933 and named a National Park in 1994.",Death Valley NP,,TRUE,
History,"In 1791, what military engineer, who served in the Continental Army during the American Revolutionary War, developed an urban plan for the city of Washington D.C.?",Pierre Charles L'Enfant,,TRUE,
Art & Literature,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" is about a London lawyer named Gabriel John Utterson who investigates strange occurrences between his old friend and his multiple personalities. What are Dr. Jekyll and Mr. Hyde's first names?","Dr. Henry Jekyll, Mr. Edward Hyde",,TRUE,
History,During what decade in the 1800s was the first US transcontinental railway completed?,1860s,,,
History,Which islands were the subject of a war between Argentina and United Kingdom in the 1980s?,Falkland Islands,,,
History,"In 1607, what became the first permanent English settlement in North America?","Jamestown, Virginia",,,
History,What European capital was first dubbed the City of Light in the 19th century?,Paris,,,
History,What concert hall was opened in New York in 1891?,Carnegie Hall,,,
History,What ocean liner was retired in 1967 and became a hotel at Long Beach?,The Queen Mary,,,
History,Who sent the Spanish Armada to invade England?,Phillip II,,,
History,"The Iran–Contra affair, a political scandal that occurred during the second term of the Reagan Administration, involved the sale of weapons to Iran through Israel, with the money funneled to rebels fighting the socialist government of what nation?",Nicaragua,TRUE,,
Food & Beverage,"What kind of cheese is most commonly sold in the US as processed ""string cheese""?",Mozzarella,,,
Food & Beverage,"What is the main ingredient of the dish called ""baba ghanoush""?",Eggplant,,,
Food & Beverage,"What vegetable is most commonly added to yogurt to make Indian ""raita""?",Cucumber,,,
Food & Beverage,Sauerbraten is a specialty beef dish that originated in what country?,Germany,,,
Food & Beverage,What’s the Hungarian word for red pepper?,Paprika,,,
Food & Beverage,"What kind of wine takes its name from the Spanish town of Jerez, where it is made?",Sherry,,,
Food & Beverage,"What large North American beverage company has sought to diversify by purchasing craft brewers including 10 Barrel, Blue Point, Breckenridge, Devils Backbone, Elysian, Four Peaks, Golden Road, Karbach, and Wicked Weed?",Anheuser-Busch,TRUE,,
Not So Common Sense,Who Directed and starred in the American Classic Citizen Cane?,Orson Wells,,,
Not So Common Sense,What single initial is used for the real-life director of Britain's M16?,C,,,
Not So Common Sense,What do the letters S and A stand for in SAM missiles?,Surface to Air,,,
Not So Common Sense,"What country is credited with inventing the modern, self-igniting match?",France,,,
Not So Common Sense,How many laps must a driver survive to win the Indianapolis 500?,"200 laps, 500 miles",,,
Not So Common Sense,What is the name of the dog on the Cracker Jack box?,Bingo,,,
Not So Common Sense,What four colors are used in four-color process printing?,"Cyan, Magenta, Yellow, Black",,,TRUE
Not So Common Sense,Who was king of England at the time of the Gunpowder Plot?,King James I,TRUE,,
Geography,"What park, encompassing nearly 3.4 million acres between the Great Basin and Mojave deserts, is the largest national park in the lower 48 United States? It was established as a National Monument in 1933 and named a National Park in 1994.",Death Valley NP,,TRUE,
History,"In 1791, what military engineer, who served in the Continental Army during the American Revolutionary War, developed an urban plan for the city of Washington D.C.?",Pierre Charles L'Enfant,,TRUE,
Art & Literature,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" is about a London lawyer named Gabriel John Utterson who investigates strange occurrences between his old friend and his multiple personalities. What are Dr. Jekyll and Mr. Hyde's first names?","Dr. Henry Jekyll, Mr. Edward Hyde",,TRUE,
History,The original Legoland opened in which country in 1968?,Denmark,,,
History,What was astronaut Edwin Eugene Aldrin Jr.'s nickname?,Buzz,,,
History,In which decade was the Rubik's Cube invented?,1970s,,,
History,In 1938 _______and his team finished the design of the VW Beetle.,Ferdinand Porsche,,,
History,What was the real last name of American folk hero Johnny Appleseed?,Chapman,,,
History,"In 1930, Jacob Schick received a patent for what hygenic invention?",First Electric Razor,,,
History,"The F-35 Lightning II, a family of single-seat, single-engined, all-weather stealth fighter jets was used for the first time in combat last year and has a projected service life through 2070. What company makes the F-35?",Lockhead Martin,,,
History,"When visiting Las Vegas, you fly into the McCarran International Airport and likely spend most of your time on the Strip, not in Las Vegas but in what unincorporated Nevada town adjacent to the city of Las Vegas?",Paradise,TRUE,,
Food & Beverage,"What company originally owned the name ""Saltine"" before losing it to trademark dilution?",Nabisco,,,
Food & Beverage,Pretzel and potato chip company Snyder's is based out of what Pennsylvania city?,Hanover,,,
Food & Beverage,"What bread's name may come from German words meaning ""devil's fart""?",Pumpernickel,,,
Food & Beverage,"What ""mocktail"" can be mixed from cranberry and grapefruit juice and peach nectar?",Safe sex on the beach,,,
Food & Beverage,What type of food is Fontina?,Cheese,,,
Food & Beverage,What continent does yerba mate originate from?,South America,,,
Food & Beverage,"What do you get when you mix white rum, lime juice, mint and sugar?",Mojito,,,
Food & Beverage,What restaurant chain was the brainchild of Atari founder Nolan Bushnell?,Chuck E Cheeses,TRUE,,
Not So Common Sense,How many tiles does each player pick at the start of a game of Scrabble?,7,,,
Not So Common Sense,In 1953 GM first introduced what iconic sports car?,Corvette,,,
Not So Common Sense,What is a Funambulist?,tight rope walker,,,
Not So Common Sense,How many white stripes are there on the American flag?,6,,,
Not So Common Sense,What is know as a brickfielder?,Hot and dry Southern Australian wind,,,
Not So Common Sense,What is a travelator?,Horizontal escaltor,,,
Not So Common Sense,"What Mexican city with a population of nearly 1 million, located along the US border in the Imperial Valley, is the capital of Baja California and, while still largely agriculture, has become a center of industry?",Mexicali,,,
Not So Common Sense,"What are the ""una corda"", ""sostenuto"", and ""damper""?",Pedals on a piano,TRUE,,
Technology,"What distributed document search and retrieval network protocol, developed in the early 1990s as a pre-cursor to modern search engines, may take its name from the mascot of University at which it was developed?",Gopher Protocol,,TRUE,
"Astronomy, Astrology","What large constellation, commonly represented as a man grasping the snake, is one of thirteen constellations that cross the ecliptic and has therefore been called the ""13th sign of the zodiac""?",Ophiuchus ((oaf-ih-YOU-kus)),,TRUE,
Art & Literature,"What English poet, who lived from 1572-1631, is perhaps best known for his 1609 fourteen-line poem (sonnet), often called Sonnet X from his collection of poems ""Holy Sonnets"", known by its opening words ""Death Be Not Proud""?",John Donne,,TRUE,
